Orthogroup	c_briggsae.AF16.prot	c_briggsae.QX1410.prot	c_elegans.prot	c_nigoni.prot
OG0000000	Transcript_CBG14412.1, Transcript_CBG20538.1, Transcript_CBG22651.1, Transcript_CBG22652.1, Transcript_CBG27278.1, Transcript_CBG27678.1	transcript_QX1410.16460.1, transcript_QX1410.16461.1, transcript_QX1410.4157.1, transcript_QX1410.4158.1, transcript_QX1410.4636.1, transcript_QX1410.579.1		Cnig_chr_V.g21530, Cnig_chr_V.g21570, Cnig_chr_V.g21571.1, Cnig_chr_V.g21571.2, Cnig_chr_V.g21573, Cnig_chr_V.g21574.1, Cnig_chr_V.g21574.2, Cnig_chr_V.g21575, Cnig_chr_V.g21576, Cnig_chr_V.g21577, Cnig_chr_V.g21578, Cnig_chr_V.g21579, Cnig_chr_V.g21580, Cnig_chr_V.g21581.1, Cnig_chr_V.g21581.2, Cnig_chr_V.g21582, Cnig_chr_V.g21583.1, Cnig_chr_V.g21583.2, Cnig_chr_V.g21583.3, Cnig_chr_V.g21583.4, Cnig_chr_V.g21583.5, Cnig_chr_V.g21584, Cnig_chr_V.g21585.1, Cnig_chr_V.g21585.2, Cnig_chr_V.g21585.3, Cnig_chr_V.g21586, Cnig_chr_V.g21587.1, Cnig_chr_V.g21587.2, Cnig_chr_V.g21587.3, Cnig_chr_V.g21589.1, Cnig_chr_V.g21589.2, Cnig_chr_V.g21590.1, Cnig_chr_V.g21590.2, Cnig_chr_V.g21591.1, Cnig_chr_V.g21591.2, Cnig_chr_V.g21591.3, Cnig_chr_V.g21591.4, Cnig_chr_V.g21592, Cnig_chr_V.g21593.1, Cnig_chr_V.g21593.2, Cnig_chr_V.g21594, Cnig_chr_V.g21595.1, Cnig_chr_V.g21595.2, Cnig_chr_V.g21595.3, Cnig_chr_V.g21595.4, Cnig_chr_V.g21596, Cnig_chr_V.g21597, Cnig_chr_V.g21598, Cnig_chr_V.g21599, Cnig_chr_V.g21600.1, Cnig_chr_V.g21600.2, Cnig_chr_V.g21600.3, Cnig_chr_V.g21600.4, Cnig_chr_V.g21601, Cnig_chr_V.g21602, Cnig_chr_V.g21603.1, Cnig_chr_V.g21603.2, Cnig_chr_V.g21603.3, Cnig_chr_V.g21603.4, Cnig_chr_V.g21604, Cnig_chr_V.g21605, Cnig_chr_V.g21606.1, Cnig_chr_V.g21606.2, Cnig_chr_V.g21606.3, Cnig_chr_V.g21606.4, Cnig_chr_V.g21607, Cnig_chr_V.g21608.1, Cnig_chr_V.g21608.2, Cnig_chr_V.g21608.3, Cnig_chr_V.g21610, Cnig_chr_V.g21611.1, Cnig_chr_V.g21611.2, Cnig_chr_V.g21612.1, Cnig_chr_V.g21612.2, Cnig_chr_V.g21613, Cnig_chr_V.g21614, Cnig_chr_V.g21615, Cnig_chr_V.g21616, Cnig_chr_V.g21617.1, Cnig_chr_V.g21617.2, Cnig_chr_V.g21618, Cnig_chr_V.g21619, Cnig_chr_X.g23682, Cnig_chr_X.g24084, nigoni.pc_2016.07.11_007.g27088.1, nigoni.pc_2016.07.11_007.g27088.2, nigoni.pc_2016.07.11_007.g27088.3, nigoni.pc_2016.07.11_114.g29162.1, nigoni.pc_2016.07.11_114.g29162.2, nigoni.pc_2016.07.11_143.g29200
OG0000001	Transcript_CBG00042.1, Transcript_CBG03580.1, Transcript_CBG09144.1	transcript_QX1410.14006.1, transcript_QX1410.14016.1, transcript_QX1410.14152.1, transcript_QX1410.14152.2		Cnig_chr_I.g1049.1, Cnig_chr_I.g1049.2, Cnig_chr_I.g1076, Cnig_chr_I.g1077, Cnig_chr_I.g1548, Cnig_chr_I.g1686, Cnig_chr_I.g2021, Cnig_chr_I.g2022, Cnig_chr_I.g2023, Cnig_chr_I.g2115, Cnig_chr_I.g2116, Cnig_chr_I.g2237, Cnig_chr_I.g2238, Cnig_chr_I.g2239, Cnig_chr_I.g2240, Cnig_chr_I.g2241, Cnig_chr_I.g2339, Cnig_chr_I.g2541.1, Cnig_chr_I.g2541.2, Cnig_chr_I.g2542, Cnig_chr_I.g2543, Cnig_chr_I.g2544, Cnig_chr_I.g284, Cnig_chr_I.g3283, Cnig_chr_I.g3452, Cnig_chr_I.g3453, Cnig_chr_I.g3489, Cnig_chr_I.g520, Cnig_chr_I.g937, Cnig_chr_II.g4887, Cnig_chr_II.g5709, Cnig_chr_II.g5914, Cnig_chr_II.g5915, Cnig_chr_II.g7120, Cnig_chr_III.g10930, Cnig_chr_III.g10932, Cnig_chr_III.g10993, Cnig_chr_III.g10994, Cnig_chr_III.g10995, Cnig_chr_III.g11028, Cnig_chr_III.g11029, Cnig_chr_III.g11040, Cnig_chr_III.g11108, Cnig_chr_III.g11109.1, Cnig_chr_III.g11109.2, Cnig_chr_III.g11109.3, Cnig_chr_III.g11363, Cnig_chr_III.g11364, Cnig_chr_III.g11365, Cnig_chr_III.g11367, Cnig_chr_III.g11500.1, Cnig_chr_III.g11500.2, Cnig_chr_III.g11513, Cnig_chr_III.g11514, Cnig_chr_III.g11650, Cnig_chr_III.g11651, Cnig_chr_III.g8999, Cnig_chr_III.g9000, Cnig_chr_III.g9001, Cnig_chr_III.g9188, Cnig_chr_III.g9189, Cnig_chr_III.g9878.1, Cnig_chr_III.g9878.2, Cnig_chr_III.g9932, Cnig_chr_IV.g12451.1, Cnig_chr_IV.g12451.2, Cnig_chr_IV.g12860, Cnig_chr_IV.g12941.1, Cnig_chr_IV.g12941.2, Cnig_chr_IV.g12943, Cnig_chr_IV.g12944, Cnig_chr_IV.g12945, Cnig_chr_IV.g12962, Cnig_chr_IV.g12991, Cnig_chr_IV.g13066, Cnig_chr_IV.g14449, Cnig_chr_IV.g14450, Cnig_chr_IV.g14451, Cnig_chr_IV.g14452, Cnig_chr_IV.g14453, Cnig_chr_V.g19408.1, Cnig_chr_V.g19408.2, Cnig_chr_V.g19550, Cnig_chr_V.g19663, Cnig_chr_V.g19664, nigoni.pc_2016.07.11_007.g27090, nigoni.pc_2016.07.11_008.g27170, nigoni.pc_2016.07.11_026.g28548, nigoni.pc_2016.07.11_026.g28549, nigoni.pc_2016.07.11_026.g28550, nigoni.pc_2016.07.11_026.g28551, nigoni.pc_2016.07.11_026.g28552
OG0000002		transcript_QX1410.10425.1		Cnig_chr_II.g6799.1, Cnig_chr_II.g6799.2, Cnig_chr_II.g6860.1, Cnig_chr_II.g6860.2, Cnig_chr_II.g6860.3, Cnig_chr_II.g6919, Cnig_chr_II.g7496, Cnig_chr_II.g7498.1, Cnig_chr_II.g7498.2, Cnig_chr_II.g7500.1, Cnig_chr_II.g7500.2, Cnig_chr_II.g7500.3, Cnig_chr_II.g7674.1, Cnig_chr_II.g7674.2, Cnig_chr_II.g7688.1, Cnig_chr_II.g7688.2, Cnig_chr_II.g7688.3, Cnig_chr_II.g7689.1, Cnig_chr_II.g7689.2, Cnig_chr_II.g7690, Cnig_chr_II.g7691, Cnig_chr_II.g7693.1, Cnig_chr_II.g7693.2, Cnig_chr_II.g7694.1, Cnig_chr_II.g7694.2, Cnig_chr_II.g7694.3, Cnig_chr_II.g7694.4, Cnig_chr_II.g7695, Cnig_chr_II.g7696.1, Cnig_chr_II.g7696.2, Cnig_chr_II.g7696.3, Cnig_chr_II.g7697.1, Cnig_chr_II.g7697.2, Cnig_chr_II.g7698, Cnig_chr_II.g7699.1, Cnig_chr_II.g7699.2, Cnig_chr_II.g7700, Cnig_chr_II.g7701, Cnig_chr_II.g7702.1, Cnig_chr_II.g7702.2, Cnig_chr_II.g7702.3, Cnig_chr_II.g7702.4, Cnig_chr_II.g7702.5, Cnig_chr_II.g7703.1, Cnig_chr_II.g7703.2, Cnig_chr_II.g7704, Cnig_chr_II.g7705, Cnig_chr_II.g7707.1, Cnig_chr_II.g7707.2, Cnig_chr_II.g7707.3, Cnig_chr_II.g7709.1, Cnig_chr_II.g7709.2, Cnig_chr_II.g7709.3, Cnig_chr_II.g7709.4, Cnig_chr_II.g7709.5, Cnig_chr_II.g7710, Cnig_chr_II.g7711.1, Cnig_chr_II.g7711.2, Cnig_chr_II.g7711.3, Cnig_chr_II.g7713.1, Cnig_chr_II.g7713.2, Cnig_chr_II.g7714, Cnig_chr_II.g7715.1, Cnig_chr_II.g7715.2, Cnig_chr_II.g7715.3, Cnig_chr_II.g7715.4, Cnig_chr_II.g7716.1, Cnig_chr_II.g7716.2, Cnig_chr_II.g7717, Cnig_chr_II.g7718.1, Cnig_chr_II.g7718.2, Cnig_chr_II.g7718.3, Cnig_chr_II.g7719, Cnig_chr_II.g7720, Cnig_chr_II.g7721.1, Cnig_chr_II.g7721.2, Cnig_chr_II.g7721.3, Cnig_chr_II.g7722, Cnig_chr_II.g7723.1, Cnig_chr_II.g7723.2, Cnig_chr_II.g7723.3, Cnig_chr_II.g7723.4, Cnig_chr_II.g7724.1, Cnig_chr_II.g7724.2, Cnig_chr_II.g7724.3, Cnig_chr_II.g7725, Cnig_chr_II.g7726.1, Cnig_chr_II.g7726.2, Cnig_chr_II.g7727.1, Cnig_chr_II.g7727.2, Cnig_chr_II.g7783.1, Cnig_chr_II.g7783.2, Cnig_chr_II.g7783.3
OG0000003			Transcript_B0294.3.1, Transcript_C17B7.11.1, Transcript_C39B5.3.1, Transcript_C39B5.4.1, Transcript_C39B5.7.1, Transcript_C39B5.9.1, Transcript_F07G6.6.1, Transcript_F07G6.7.1, Transcript_F09C6.15.1, Transcript_F09C6.2.1, Transcript_F09C6.6.1, Transcript_F31F4.15a.1, Transcript_F31F4.15b.1, Transcript_F42G2.8.1, Transcript_F52D2.1.1, Transcript_F54B8.3.1, Transcript_F54B8.3.2, Transcript_F54D10.2.1, Transcript_H03G16.1.1, Transcript_T08E11.7.1, Transcript_T12B5.1.1, Transcript_T12B5.10.1, Transcript_T12B5.11.1, Transcript_T12B5.2.1, Transcript_T12B5.3.1, Transcript_T12B5.3.2, Transcript_T12B5.4.1, Transcript_T12B5.5.1, Transcript_T12B5.6b.1, Transcript_T12B5.6c.1, Transcript_T12B5.7.1, Transcript_T12B5.8.1, Transcript_T12B5.8.2, Transcript_T13F3.5.1, Transcript_T20H9.1.1, Transcript_T20H9.2.1, Transcript_T20H9.3.1, Transcript_T20H9.4.1, Transcript_T24C2.4.1, Transcript_T25E12.12.1, Transcript_T28A11.21.1, Transcript_Y119D3A.1.1, Transcript_Y119D3A.2.1, Transcript_Y119D3A.3.1, Transcript_Y119D3A.4.1, Transcript_Y119D3B.19.1, Transcript_Y119D3B.22.1, Transcript_Y119D3B.4.1, Transcript_Y119D3B.6.1, Transcript_Y119D3B.7.1, Transcript_Y119D3B.8.1, Transcript_Y119D3B.8.2, Transcript_Y119D3B.9.1, Transcript_Y22D7AR.11.1, Transcript_Y22D7AR.11.2, Transcript_Y22D7AR.2.1, Transcript_Y22D7AR.9.1, Transcript_Y54F10BL.1.1, Transcript_Y54F10BM.10.1, Transcript_Y54F10BM.11.1, Transcript_Y54F10BM.11.2, Transcript_Y54F10BM.15.1, Transcript_Y54F10BM.20.1, Transcript_Y54F10BM.4.1, Transcript_Y54F10BM.4.2, Transcript_Y54F10BM.5.1, Transcript_Y54F10BM.7.1, Transcript_Y59E1A.1.1, Transcript_Y82E9BL.10.1, Transcript_Y82E9BL.11.1, Transcript_Y82E9BL.13.1, Transcript_Y82E9BL.14.1, Transcript_Y82E9BL.15.1, Transcript_Y82E9BL.17.1, Transcript_Y82E9BL.18.1, Transcript_Y82E9BL.18.2, Transcript_Y82E9BL.19.1, Transcript_Y82E9BL.4.1, Transcript_Y82E9BL.7.1, Transcript_Y82E9BL.8.1, Transcript_Y82E9BR.12.1, Transcript_Y82E9BR.12.2, Transcript_ZC47.13a.1, Transcript_ZC47.14.1, Transcript_ZC47.3.1, Transcript_ZC47.3.2, Transcript_ZC47.4.1, Transcript_ZC47.5.1, Transcript_ZC47.6.1, Transcript_ZC47.7.1, Transcript_cTel54X.1.1, Transcript_cTel54X.2.1	
OG0000004	Transcript_CBG03584.1, Transcript_CBG03586.1, Transcript_CBG03590.1, Transcript_CBG03591.1, Transcript_CBG11950.1, Transcript_CBG20199.1, Transcript_CBG20200.1, Transcript_CBG20201.1, Transcript_CBG20210.1, Transcript_CBG20211a.1, Transcript_CBG20211b.1, Transcript_CBG20212.1, Transcript_CBG26123.1, Transcript_CBG26125.1, Transcript_CBG26132.1, Transcript_CBG30132.1, Transcript_CBG30238.1, Transcript_CBG30239.1, Transcript_CBG30314.1, Transcript_CBG30770.1, Transcript_CBG30773.1	transcript_QX1410.14000.1, transcript_QX1410.14000.2, transcript_QX1410.14009.1, transcript_QX1410.14010.1, transcript_QX1410.14011.1, transcript_QX1410.14012.1, transcript_QX1410.14012.2, transcript_QX1410.14012.3, transcript_QX1410.14015.1, transcript_QX1410.14018.1, transcript_QX1410.14054.1, transcript_QX1410.14070.1, transcript_QX1410.14071.1, transcript_QX1410.14072.1, transcript_QX1410.14072.2, transcript_QX1410.14080.1, transcript_QX1410.14081.1, transcript_QX1410.14082.1, transcript_QX1410.14082.2, transcript_QX1410.18589.1, transcript_QX1410.18590.1, transcript_QX1410.18593.1, transcript_QX1410.6368.1		Cnig_chr_I.g1815.1, Cnig_chr_I.g1815.2, Cnig_chr_II.g5007, Cnig_chr_III.g11093, Cnig_chr_III.g11131, Cnig_chr_III.g11132, Cnig_chr_III.g11133, Cnig_chr_III.g11134, Cnig_chr_III.g11135.1, Cnig_chr_III.g11135.2, Cnig_chr_III.g11136, Cnig_chr_III.g11156, Cnig_chr_III.g11157, Cnig_chr_III.g11176, Cnig_chr_III.g11180, Cnig_chr_III.g11183, Cnig_chr_III.g11229, Cnig_chr_III.g11231, Cnig_chr_III.g11233, Cnig_chr_III.g11245, Cnig_chr_III.g11248, Cnig_chr_III.g11249, Cnig_chr_III.g11250, Cnig_chr_III.g11251, Cnig_chr_III.g11252, Cnig_chr_III.g11253.1, Cnig_chr_III.g11253.2, Cnig_chr_III.g11254.1, Cnig_chr_III.g11254.2, Cnig_chr_III.g11255, Cnig_chr_III.g11261, Cnig_chr_III.g11266.1, Cnig_chr_III.g11266.2, Cnig_chr_III.g11267.1, Cnig_chr_III.g11267.2, Cnig_chr_III.g11268, Cnig_chr_III.g11271, Cnig_chr_III.g11272, Cnig_chr_III.g11273, Cnig_chr_III.g11274, Cnig_chr_III.g11275, Cnig_chr_III.g11278, Cnig_chr_III.g11279, Cnig_chr_III.g11280, Cnig_chr_III.g11281, Cnig_chr_X.g26094
OG0000005	Transcript_CBG00337.1, Transcript_CBG02283.1, Transcript_CBG02296.1, Transcript_CBG02389.1, Transcript_CBG02432.1, Transcript_CBG02544.1, Transcript_CBG02775.1, Transcript_CBG02788.1, Transcript_CBG02876.1, Transcript_CBG02877.1, Transcript_CBG04545.1, Transcript_CBG04546.1, Transcript_CBG09951.1, Transcript_CBG09953.1, Transcript_CBG20609.1, Transcript_CBG20617.1, Transcript_CBG23417.1, Transcript_CBG25598.1, Transcript_CBG25599.1, Transcript_CBG31042.1	transcript_QX1410.10031.2, transcript_QX1410.10076.1, transcript_QX1410.10162.1, transcript_QX1410.10176.2, transcript_QX1410.10211.1, transcript_QX1410.10218.1, transcript_QX1410.10222.1, transcript_QX1410.13521.1, transcript_QX1410.18565.1, transcript_QX1410.18957.1, transcript_QX1410.2302.1, transcript_QX1410.3683.1, transcript_QX1410.9616.1, transcript_QX1410.9682.1, transcript_QX1410.9685.1, transcript_QX1410.9702.1, transcript_QX1410.9715.1, transcript_QX1410.9716.1, transcript_QX1410.9930.1	Transcript_C04G2.4.1, Transcript_C33F10.9.1, Transcript_C34F11.4.1, Transcript_F26G1.7.1, Transcript_F32B6.6.1, Transcript_F36H12.7.1, Transcript_F58A6.8.1, Transcript_K05F1.2.1, Transcript_K07F5.1.1, Transcript_K07F5.2.1, Transcript_K07F5.3.1, Transcript_R05F9.13.1, Transcript_R05F9.8.1, Transcript_R13H9.4.1, Transcript_T13F2.10.1, Transcript_T13F2.11.1, Transcript_Y59E9AR.7.1, Transcript_Y59H11AM.1.1, Transcript_ZK1248.6.1, Transcript_ZK1251.6.1, Transcript_ZK354.1.1, Transcript_ZK354.11.1, Transcript_ZK354.4.1, Transcript_ZK354.5.1, Transcript_ZK546.6.1	Cnig_chr_II.g5965, Cnig_chr_II.g5971, Cnig_chr_II.g6237, Cnig_chr_II.g6354, Cnig_chr_II.g6389, Cnig_chr_II.g6485, Cnig_chr_II.g6498, Cnig_chr_II.g6522, Cnig_chr_II.g6545, Cnig_chr_II.g6551.2, Cnig_chr_II.g6555, Cnig_chr_III.g10568, Cnig_chr_III.g10698, Cnig_chr_IV.g12095, Cnig_chr_V.g18047, Cnig_chr_V.g18934, Cnig_chr_V.g20473, Cnig_chr_V.g20474
OG0000006		transcript_QX1410.4351.1, transcript_QX1410.4478.1		Cnig_chr_V.g21337, Cnig_chr_V.g21338, Cnig_chr_X.g23372.1, Cnig_chr_X.g23372.2, nigoni.pc_2016.07.11_007.g26883, nigoni.pc_2016.07.11_007.g26918, nigoni.pc_2016.07.11_007.g26933.1, nigoni.pc_2016.07.11_007.g26933.2, nigoni.pc_2016.07.11_007.g26934, nigoni.pc_2016.07.11_007.g26935.1, nigoni.pc_2016.07.11_007.g26935.2, nigoni.pc_2016.07.11_007.g26936, nigoni.pc_2016.07.11_007.g26937, nigoni.pc_2016.07.11_007.g26938.1, nigoni.pc_2016.07.11_007.g26938.2, nigoni.pc_2016.07.11_007.g26939.1, nigoni.pc_2016.07.11_007.g26939.2, nigoni.pc_2016.07.11_007.g26940.1, nigoni.pc_2016.07.11_007.g26940.2, nigoni.pc_2016.07.11_007.g26941, nigoni.pc_2016.07.11_007.g26942, nigoni.pc_2016.07.11_007.g26943, nigoni.pc_2016.07.11_007.g26944, nigoni.pc_2016.07.11_007.g26945.2, nigoni.pc_2016.07.11_007.g26945.3, nigoni.pc_2016.07.11_007.g26946.1, nigoni.pc_2016.07.11_007.g26946.2, nigoni.pc_2016.07.11_007.g26948.1, nigoni.pc_2016.07.11_007.g26948.2, nigoni.pc_2016.07.11_007.g26949.1, nigoni.pc_2016.07.11_007.g26949.2, nigoni.pc_2016.07.11_007.g26949.3, nigoni.pc_2016.07.11_007.g26950.1, nigoni.pc_2016.07.11_007.g26950.2, nigoni.pc_2016.07.11_007.g27014, nigoni.pc_2016.07.11_007.g27015, nigoni.pc_2016.07.11_007.g27018, nigoni.pc_2016.07.11_007.g27019.1, nigoni.pc_2016.07.11_007.g27019.2, nigoni.pc_2016.07.11_007.g27019.3, nigoni.pc_2016.07.11_007.g27021, nigoni.pc_2016.07.11_007.g27022.1, nigoni.pc_2016.07.11_007.g27022.2, nigoni.pc_2016.07.11_007.g27023.1, nigoni.pc_2016.07.11_007.g27023.2, nigoni.pc_2016.07.11_007.g27024, nigoni.pc_2016.07.11_007.g27025, nigoni.pc_2016.07.11_007.g27026.1, nigoni.pc_2016.07.11_007.g27026.2, nigoni.pc_2016.07.11_007.g27027, nigoni.pc_2016.07.11_007.g27028, nigoni.pc_2016.07.11_007.g27029, nigoni.pc_2016.07.11_007.g27030.1, nigoni.pc_2016.07.11_007.g27030.2, nigoni.pc_2016.07.11_007.g27031, nigoni.pc_2016.07.11_007.g27032, nigoni.pc_2016.07.11_007.g27033.1, nigoni.pc_2016.07.11_007.g27033.2, nigoni.pc_2016.07.11_007.g27034.1, nigoni.pc_2016.07.11_007.g27034.2, nigoni.pc_2016.07.11_007.g27035, nigoni.pc_2016.07.11_007.g27036, nigoni.pc_2016.07.11_007.g27037.1, nigoni.pc_2016.07.11_007.g27037.2, nigoni.pc_2016.07.11_007.g27038.1, nigoni.pc_2016.07.11_007.g27038.2, nigoni.pc_2016.07.11_007.g27039, nigoni.pc_2016.07.11_007.g27041, nigoni.pc_2016.07.11_007.g27042.1, nigoni.pc_2016.07.11_007.g27042.2, nigoni.pc_2016.07.11_007.g27043.1, nigoni.pc_2016.07.11_007.g27043.2, nigoni.pc_2016.07.11_007.g27043.3, nigoni.pc_2016.07.11_007.g27044.1, nigoni.pc_2016.07.11_007.g27044.2, nigoni.pc_2016.07.11_007.g27045, nigoni.pc_2016.07.11_007.g27046, nigoni.pc_2016.07.11_007.g27047
OG0000007		transcript_QX1410.19856.1, transcript_QX1410.19856.2	Transcript_T26G10.4.1	Cnig_chr_I.g2865, Cnig_chr_II.g5110, Cnig_chr_II.g5111, Cnig_chr_II.g5112, Cnig_chr_II.g5113.1, Cnig_chr_II.g5113.2, Cnig_chr_II.g5113.3, Cnig_chr_III.g10029, Cnig_chr_IV.g13633, Cnig_chr_IV.g16186.1, Cnig_chr_IV.g16186.2, Cnig_chr_IV.g16186.3, Cnig_chr_X.g23903.1, Cnig_chr_X.g23903.2, Cnig_chr_X.g26415, Cnig_chr_X.g26640, nigoni.pc_2016.07.11_010.g27393.1, nigoni.pc_2016.07.11_010.g27393.2, nigoni.pc_2016.07.11_010.g27394, nigoni.pc_2016.07.11_011.g27584, nigoni.pc_2016.07.11_011.g27585, nigoni.pc_2016.07.11_011.g27586, nigoni.pc_2016.07.11_033.g28742, nigoni.pc_2016.07.11_033.g28745, nigoni.pc_2016.07.11_039.g28814.1, nigoni.pc_2016.07.11_039.g28814.2, nigoni.pc_2016.07.11_039.g28814.3, nigoni.pc_2016.07.11_039.g28815, nigoni.pc_2016.07.11_039.g28817, nigoni.pc_2016.07.11_039.g28818, nigoni.pc_2016.07.11_039.g28819, nigoni.pc_2016.07.11_039.g28820, nigoni.pc_2016.07.11_039.g28821, nigoni.pc_2016.07.11_039.g28822.1, nigoni.pc_2016.07.11_039.g28822.2, nigoni.pc_2016.07.11_047.g28895, nigoni.pc_2016.07.11_047.g28896.1, nigoni.pc_2016.07.11_047.g28896.2, nigoni.pc_2016.07.11_048.g28897, nigoni.pc_2016.07.11_048.g28898, nigoni.pc_2016.07.11_048.g28899, nigoni.pc_2016.07.11_048.g28900, nigoni.pc_2016.07.11_048.g28901, nigoni.pc_2016.07.11_050.g28906, nigoni.pc_2016.07.11_051.g28907, nigoni.pc_2016.07.11_051.g28908, nigoni.pc_2016.07.11_051.g28909, nigoni.pc_2016.07.11_051.g28910.1, nigoni.pc_2016.07.11_051.g28910.2, nigoni.pc_2016.07.11_054.g28930.1, nigoni.pc_2016.07.11_054.g28930.2, nigoni.pc_2016.07.11_054.g28930.3, nigoni.pc_2016.07.11_054.g28931, nigoni.pc_2016.07.11_054.g28932, nigoni.pc_2016.07.11_057.g28946, nigoni.pc_2016.07.11_057.g28948, nigoni.pc_2016.07.11_057.g28949, nigoni.pc_2016.07.11_071.g29024, nigoni.pc_2016.07.11_071.g29025, nigoni.pc_2016.07.11_071.g29026, nigoni.pc_2016.07.11_072.g29027.1, nigoni.pc_2016.07.11_072.g29027.2, nigoni.pc_2016.07.11_072.g29027.3, nigoni.pc_2016.07.11_072.g29029.1, nigoni.pc_2016.07.11_072.g29029.2, nigoni.pc_2016.07.11_072.g29030, nigoni.pc_2016.07.11_074.g29039, nigoni.pc_2016.07.11_074.g29040, nigoni.pc_2016.07.11_074.g29041
OG0000008	Transcript_CBG24113.1	transcript_QX1410.11132.1		Cnig_chr_I.g1683.1, Cnig_chr_I.g1683.2, Cnig_chr_II.g6099.1, Cnig_chr_II.g6099.2, Cnig_chr_II.g6858, Cnig_chr_II.g6900.1, Cnig_chr_II.g6900.2, Cnig_chr_II.g6900.3, Cnig_chr_II.g6903, Cnig_chr_II.g6904.1, Cnig_chr_II.g6904.2, Cnig_chr_II.g6905.1, Cnig_chr_II.g6905.2, Cnig_chr_II.g6907.1, Cnig_chr_II.g6907.2, Cnig_chr_II.g6907.3, Cnig_chr_II.g6909.1, Cnig_chr_II.g6909.2, Cnig_chr_II.g6909.3, Cnig_chr_II.g6909.4, Cnig_chr_II.g7113, Cnig_chr_II.g7459, Cnig_chr_II.g7735, Cnig_chr_II.g7736.1, Cnig_chr_II.g7736.2, Cnig_chr_II.g7739.1, Cnig_chr_II.g7752, Cnig_chr_II.g7753.1, Cnig_chr_II.g7753.2, Cnig_chr_II.g7755.2, Cnig_chr_II.g7758, Cnig_chr_II.g7761.1, Cnig_chr_II.g7761.2, Cnig_chr_II.g7761.3, Cnig_chr_II.g7762, Cnig_chr_II.g7763, Cnig_chr_II.g7768.1, Cnig_chr_II.g7768.2, Cnig_chr_II.g7768.3, Cnig_chr_III.g9064, Cnig_chr_III.g9185, Cnig_chr_III.g9190, Cnig_chr_IV.g12425.1, Cnig_chr_IV.g12425.2, Cnig_chr_IV.g12425.3, Cnig_chr_IV.g13357.1, Cnig_chr_IV.g13357.2, Cnig_chr_IV.g13357.3, Cnig_chr_IV.g14805, Cnig_chr_V.g18951.1, Cnig_chr_V.g18951.2, Cnig_chr_V.g18951.3, Cnig_chr_V.g19122, Cnig_chr_X.g26241, Cnig_chr_X.g26329.1, Cnig_chr_X.g26329.2, Cnig_chr_X.g26330, Cnig_chr_X.g26333, Cnig_chr_X.g26335.1, Cnig_chr_X.g26335.2, Cnig_chr_X.g26335.3, Cnig_chr_X.g26337, Cnig_chr_X.g26468.1, Cnig_chr_X.g26468.2, Cnig_chr_X.g26468.3, Cnig_chr_X.g26546, nigoni.pc_2016.07.11_046.g28888
OG0000009	Transcript_CBG04403.1, Transcript_CBG04468.1, Transcript_CBG24704.1	transcript_QX1410.21325.1, transcript_QX1410.21396.1, transcript_QX1410.21446.1		Cnig_chr_IV.g14825.1, Cnig_chr_IV.g14825.2, Cnig_chr_IV.g14825.3, Cnig_chr_IV.g14974.1, Cnig_chr_IV.g14974.2, Cnig_chr_IV.g14974.3, Cnig_chr_IV.g14975.1, Cnig_chr_IV.g14975.2, Cnig_chr_IV.g15040.1, Cnig_chr_IV.g15040.2, Cnig_chr_IV.g15040.3, Cnig_chr_IV.g15044.1, Cnig_chr_IV.g15044.2, Cnig_chr_IV.g15044.3, Cnig_chr_IV.g15045, Cnig_chr_IV.g15046.1, Cnig_chr_IV.g15046.2, Cnig_chr_IV.g15048, Cnig_chr_IV.g15050.1, Cnig_chr_IV.g15050.2, Cnig_chr_IV.g15050.3, Cnig_chr_IV.g15051.1, Cnig_chr_IV.g15051.2, Cnig_chr_IV.g15052.1, Cnig_chr_IV.g15052.2, Cnig_chr_IV.g15053, Cnig_chr_IV.g15054, Cnig_chr_IV.g15055, Cnig_chr_IV.g15056.1, Cnig_chr_IV.g15056.2, Cnig_chr_IV.g15057.1, Cnig_chr_IV.g15057.2, Cnig_chr_IV.g15058.1, Cnig_chr_IV.g15058.2, Cnig_chr_IV.g15059, Cnig_chr_IV.g15060, Cnig_chr_IV.g15061, Cnig_chr_IV.g15105.1, Cnig_chr_IV.g15105.2, Cnig_chr_IV.g15105.3, Cnig_chr_IV.g15105.4, Cnig_chr_IV.g15106.1, Cnig_chr_IV.g15106.2, Cnig_chr_IV.g15106.3, Cnig_chr_IV.g15106.4, Cnig_chr_IV.g15309, Cnig_chr_IV.g15310, Cnig_chr_IV.g15311, Cnig_chr_IV.g15312.1, Cnig_chr_IV.g15312.2, Cnig_chr_IV.g15312.3, Cnig_chr_IV.g15313, Cnig_chr_IV.g15316, Cnig_chr_IV.g15317.1, Cnig_chr_IV.g15317.2, nigoni.pc_2016.07.11_110.g29157
